Date,Tout (°C),Wind (m/s)
2017.1.18 10:20,-3.9,0.86
2017.1.18 10:30,-3.9,0.89
2017.1.18 10:40,-3.8,0.88
2017.1.18 10:50,-3.8,0.93
2017.1.18 11:0,-3.8,0.94
2017.1.18 11:10,-3.9,0.98
2017.1.18 11:20,-3.8,0.97
2017.1.18 11:30,-3.7,0.97
2017.1.18 11:40,-3.7,0.98
2017.1.18 11:50,-3.6,0.96
2017.1.18 12:0,-3.6,0.96
2017.1.18 12:10,-3.6,0.95
2017.1.18 12:20,-3.5,0.94
2017.1.18 12:30,-3.5,0.91
2017.1.18 12:40,-3.5,0.91
2017.1.18 12:50,-3.5,0.91
2017.1.18 13:0,-3.5,0.94
2017.1.18 13:10,-3.4,0.95
2017.1.18 13:20,-3.4,0.94
2017.1.18 13:30,-3.4,0.96
2017.1.18 13:40,-3.3,0.97
2017.1.18 13:50,-3.3,0.95
2017.1.18 14:0,-3.3,0.95
2017.1.18 14:10,-3.3,0.92
2017.1.18 14:20,-3.3,0.92
2017.1.18 14:30,-3.2,0.93
2017.1.18 14:40,-3.2,0.91
2017.1.18 14:50,-3.2,0.87
2017.1.18 15:0,-3.3,0.86
2017.1.18 15:10,-3.3,0.85
2017.1.18 15:20,-3.3,0.87
2017.1.18 15:30,-3.3,0.9
2017.1.18 15:40,-3.2,0.88
2017.1.18 15:50,-3.3,0.88
2017.1.18 16:0,-3.3,0.89
2017.1.18 16:10,-3.4,0.89
2017.1.18 16:20,-3.5,0.9
2017.1.18 16:30,-3.6,0.88
2017.1.18 16:40,-3.6,0.88
2017.1.18 16:50,-3.6,0.89
2017.1.18 17:0,-3.6,0.89
2017.1.18 17:10,-3.6,0.9
2017.1.18 17:20,-3.7,0.9
2017.1.18 17:30,-3.7,0.87
2017.1.18 17:40,-3.7,0.9
2017.1.18 17:50,-3.6,0.9
2017.1.18 18:0,-3.6,0.9
2017.1.18 18:10,-3.6,0.85
2017.1.18 18:20,-3.6,0.83
2017.1.18 18:30,-3.6,0.86
2017.1.18 18:40,-3.6,0.84
2017.1.18 18:50,-3.6,0.82
2017.1.18 19:0,-3.6,0.79
2017.1.18 19:10,-3.6,0.83
2017.1.18 19:20,-3.6,0.84
2017.1.18 19:30,-3.7,0.88
2017.1.18 19:40,-3.6,0.91
2017.1.18 19:50,-3.6,0.85
2017.1.18 20:0,-3.7,0.84
2017.1.18 20:10,-3.7,0.81
2017.1.18 20:20,-3.8,0.8
2017.1.18 20:30,-3.9,0.8
2017.1.18 20:40,-3.9,0.78
2017.1.18 20:50,-4.1,0.75
2017.1.18 21:0,-4.1,0.8
2017.1.18 21:10,-4.1,0.84
2017.1.18 21:20,-4.1,0.83
2017.1.18 21:30,-4.1,0.91
2017.1.18 21:40,-4.2,0.97
2017.1.18 21:50,-4.3,0.96
2017.1.18 22:0,-4.3,0.98
2017.1.18 22:10,-4.2,1.02
2017.1.18 22:20,-4.3,0.99
2017.1.18 22:30,-4.3,1.02
2017.1.18 22:40,-4.4,1.02
2017.1.18 22:50,-4.4,1
2017.1.18 23:0,-4.4,0.97
2017.1.18 23:10,-4.4,0.99
2017.1.18 23:20,-4.4,0.97
2017.1.18 23:30,-4.3,0.95
2017.1.18 23:40,-4.3,0.92
2017.1.18 23:50,-4.4,0.93
2017.1.19 0:0,-4.4,0.91
2017.1.19 0:10,-4.4,0.98
2017.1.19 0:20,-4.4,1.07
2017.1.19 0:30,-4.5,1.05
2017.1.19 0:40,-4.5,1.05
2017.1.19 0:50,-4.6,1.03
2017.1.19 1:0,-4.6,1.01
2017.1.19 1:10,-4.6,1
2017.1.19 1:20,-4.6,1.01
2017.1.19 1:30,-4.5,1.04
2017.1.19 1:40,-4.5,1
2017.1.19 1:50,-4.5,0.98
2017.1.19 2:0,-4.4,0.98
2017.1.19 2:10,-4.4,0.97
2017.1.19 2:20,-4.4,0.98
2017.1.19 2:30,-4.4,0.99
2017.1.19 2:40,-4.4,0.98
2017.1.19 2:50,-4.3,0.96
2017.1.19 3:0,-4.3,0.96
2017.1.19 3:10,-4.3,0.94
2017.1.19 3:20,-4.3,0.92
2017.1.19 3:30,-4.3,0.91
2017.1.19 3:40,-4.4,0.94
2017.1.19 3:50,-4.4,0.96
2017.1.19 4:0,-4.3,0.98
2017.1.19 4:10,-4.4,0.99
2017.1.19 4:20,-4.4,1
2017.1.19 4:30,-4.4,0.98
2017.1.19 4:40,-4.4,1
2017.1.19 4:50,-4.3,1.02
2017.1.19 5:0,-4.3,0.99
2017.1.19 5:10,-4.3,0.98
2017.1.19 5:20,-4.4,0.95
2017.1.19 5:30,-4.5,0.92
2017.1.19 5:40,-4.6,0.93
2017.1.19 5:50,-4.7,0.93
2017.1.19 6:0,-4.6,0.92
2017.1.19 6:10,-4.6,0.95
2017.1.19 6:20,-4.6,1
2017.1.19 6:30,-4.5,0.99
2017.1.19 6:40,-4.6,0.98
2017.1.19 6:50,-4.6,1.01
