Date time,Wind (m/s),Tout (°C)
24. 01. 2018 10:00,0.2,0.1
24. 01. 2018 10:10,0.3,0.7
24. 01. 2018 10:20,0.29,1.7
24. 01. 2018 15:20,0.22,9.2
24. 01. 2018 16:00,0.2,8.6
24. 01. 2018 16:10,0.18,8.5
24. 01. 2018 16:20,0.18,8.2
24. 01. 2018 16:30,0.19,7.9
24. 01. 2018 16:40,0.18,7.6
24. 01. 2018 16:50,0.2,7.2
24. 01. 2018 17:00,0.18,6.9
24. 01. 2018 17:10,0.18,6.6
24. 01. 2018 17:20,0.18,6.3
24. 01. 2018 17:30,0.18,6.3
24. 01. 2018 17:40,0.18,5.1
24. 01. 2018 17:50,0.2,4.6
24. 01. 2018 18:00,0.2,4.5
24. 01. 2018 18:10,0.21,4.3
24. 01. 2018 18:20,0.2,4.3
24. 01. 2018 18:30,0.2,3.8
24. 01. 2018 18:40,0.22,3.3
24. 01. 2018 18:50,0.21,3.1
24. 01. 2018 19:00,0.19,3
24. 01. 2018 19:10,0.2,2.8
24. 01. 2018 19:20,0.2,2.5
24. 01. 2018 19:30,0.19,2.4
24. 01. 2018 19:40,0.19,1.9
24. 01. 2018 19:50,0.2,1.6
24. 01. 2018 20:00,0.24,1.4
24. 01. 2018 20:10,0.24,1.3
24. 01. 2018 20:20,0.26,1.3
24. 01. 2018 20:30,0.27,1.1
24. 01. 2018 20:40,0.25,1.1
24. 01. 2018 20:50,0.26,0.6
24. 01. 2018 21:00,0.26,0
24. 01. 2018 21:10,0.27,-0.5
24. 01. 2018 21:20,0.29,-0.7
24. 01. 2018 21:30,0.28,-0.9
24. 01. 2018 21:40,0.26,-1
24. 01. 2018 21:50,0.36,-1.3
24. 01. 2018 22:00,0.39,-1.5
24. 01. 2018 22:10,0.39,-1.6
24. 01. 2018 22:20,0.41,-1.5
24. 01. 2018 22:30,0.42,-1.6
24. 01. 2018 22:40,0.44,-1.4
24. 01. 2018 22:50,0.43,-1.3
24. 01. 2018 23:00,0.4,-1.4
24. 01. 2018 23:10,0.4,-1.5
24. 01. 2018 23:20,0.4,-1.4
24. 01. 2018 23:30,0.38,-1.3
24. 01. 2018 23:40,0.39,-1.4
24. 01. 2018 23:50,0.39,-1.4
25. 01. 2018 00:00,0.37,-1.6
25. 01. 2018 00:10,0.36,-1.6
25. 01. 2018 00:20,0.37,-1.6
25. 01. 2018 00:30,0.37,-2
25. 01. 2018 00:40,0.37,-2.1
25. 01. 2018 00:50,0.37,-2
25. 01. 2018 01:00,0.36,-2
25. 01. 2018 01:10,0.38,-2.1
25. 01. 2018 01:20,0.4,-2.2
25. 01. 2018 01:30,0.42,-2.2
25. 01. 2018 01:40,0.45,-2.1
25. 01. 2018 01:50,0.46,-1.1
25. 01. 2018 02:00,0.48,-1
25. 01. 2018 02:10,0.45,-1
25. 01. 2018 02:20,0.43,-1.1
25. 01. 2018 02:30,0.42,-0.7
25. 01. 2018 02:40,0.43,-0.3
25. 01. 2018 02:50,0.44,-0.5
25. 01. 2018 03:00,0.46,-0.4
25. 01. 2018 03:10,0.48,-0.4
25. 01. 2018 03:20,0.49,-0.2
25. 01. 2018 03:30,0.51,-0.2
25. 01. 2018 03:40,0.51,-0.1
25. 01. 2018 03:50,0.5,0.1
25. 01. 2018 04:00,0.49,0.4
25. 01. 2018 04:10,0.48,0.7
25. 01. 2018 04:20,0.5,0.9
25. 01. 2018 04:30,0.53,1.4
25. 01. 2018 04:40,0.52,1.8
25. 01. 2018 04:50,0.51,1.9
25. 01. 2018 05:00,0.52,2.3
25. 01. 2018 05:10,0.52,2.7
25. 01. 2018 05:20,0.52,2.8
25. 01. 2018 05:30,0.53,3
25. 01. 2018 05:40,0.51,3
25. 01. 2018 05:50,0.52,3.3
25. 01. 2018 15:30,0.4,5.4
25. 01. 2018 15:40,0.41,5.2
25. 01. 2018 15:50,0.4,5.1
25. 01. 2018 16:00,0.42,5
25. 01. 2018 16:10,0.41,4.9
25. 01. 2018 16:20,0.4,4.9
25. 01. 2018 16:30,0.38,4.9
25. 01. 2018 16:40,0.36,4.9
25. 01. 2018 18:50,0.44,4.9
25. 01. 2018 19:00,0.47,4.9
25. 01. 2018 19:10,0.45,4.9
25. 01. 2018 19:40,0.4,5
25. 01. 2018 19:50,0.44,5
26. 01. 2018 00:20,0.42,5.9
26. 01. 2018 00:30,0.4,5.9
26. 01. 2018 00:40,0.39,6
26. 01. 2018 01:10,0.38,6
26. 01. 2018 01:20,0.4,5.9
26. 01. 2018 01:30,0.41,6
26. 01. 2018 01:40,0.41,6
26. 01. 2018 01:50,0.41,6
26. 01. 2018 02:00,0.41,6
26. 01. 2018 02:10,0.42,6
26. 01. 2018 02:20,0.44,6
26. 01. 2018 02:30,0.44,6
26. 01. 2018 07:30,0.43,5.9
26. 01. 2018 07:40,0.42,5.8
26. 01. 2018 07:50,0.44,5.8
26. 01. 2018 08:00,0.46,5.8
26. 01. 2018 08:10,0.44,5.8
26. 01. 2018 08:20,0.44,5.8
26. 01. 2018 08:30,0.44,5.8
26. 01. 2018 08:40,0.41,5.8
26. 01. 2018 08:50,0.42,5.8
26. 01. 2018 09:00,0.42,5.9
26. 01. 2018 09:10,0.39,6
26. 01. 2018 09:20,0.38,6.1
26. 01. 2018 09:30,0.36,6.3
26. 01. 2018 09:40,0.38,6.5
26. 01. 2018 09:50,0.39,6.6
26. 01. 2018 10:00,0.37,6.8
26. 01. 2018 15:50,0.27,8.8
26. 01. 2018 16:20,0.26,8.6
26. 01. 2018 16:30,0.25,8.4
26. 01. 2018 16:50,0.29,7.9
26. 01. 2018 17:20,0.27,7.1
26. 01. 2018 17:30,0.28,6.9
26. 01. 2018 17:40,0.28,6.8
26. 01. 2018 17:50,0.25,6.6
26. 01. 2018 18:00,0.24,6.5
26. 01. 2018 18:10,0.27,6.5
26. 01. 2018 18:20,0.26,6.5
26. 01. 2018 18:30,0.26,6.6
26. 01. 2018 18:40,0.25,6.5
26. 01. 2018 18:50,0.26,6.4
26. 01. 2018 19:00,0.26,6.4
26. 01. 2018 19:10,0.29,6.4
26. 01. 2018 19:20,0.32,6.4
26. 01. 2018 19:30,0.33,6.4
26. 01. 2018 19:40,0.33,6.3
26. 01. 2018 19:50,0.33,6.3
26. 01. 2018 20:00,0.32,6.2
26. 01. 2018 20:10,0.3,6.1
26. 01. 2018 20:20,0.28,5.9
26. 01. 2018 20:30,0.28,5.7
26. 01. 2018 20:40,0.3,5.4
26. 01. 2018 20:50,0.31,5.3
26. 01. 2018 21:00,0.28,5.3
26. 01. 2018 21:10,0.29,5.4
26. 01. 2018 21:20,0.3,5.4
26. 01. 2018 21:30,0.33,5.5
26. 01. 2018 21:40,0.34,5.5
26. 01. 2018 21:50,0.34,5.2
26. 01. 2018 22:00,0.36,5.3
26. 01. 2018 22:10,0.36,5.2
26. 01. 2018 22:20,0.35,5.3
26. 01. 2018 22:40,0.36,5.2
26. 01. 2018 23:50,0.44,4.3
27. 01. 2018 01:30,0.38,4.5
27. 01. 2018 01:40,0.39,4.6
27. 01. 2018 01:50,0.36,4.8
27. 01. 2018 02:00,0.33,4.9
27. 01. 2018 02:10,0.34,5
27. 01. 2018 02:20,0.37,5
27. 01. 2018 02:30,0.38,5
27. 01. 2018 02:40,0.4,5
27. 01. 2018 02:50,0.41,5
27. 01. 2018 03:00,0.41,5
27. 01. 2018 03:10,0.4,4.9
27. 01. 2018 03:20,0.41,4.9
27. 01. 2018 03:30,0.38,4.9
27. 01. 2018 03:40,0.35,5
27. 01. 2018 03:50,0.35,5
27. 01. 2018 04:00,0.33,5
27. 01. 2018 04:10,0.33,4.8
27. 01. 2018 04:20,0.33,4.6
27. 01. 2018 04:30,0.31,4.7
27. 01. 2018 04:40,0.32,5
27. 01. 2018 04:50,0.34,5.1
27. 01. 2018 05:00,0.33,5
27. 01. 2018 05:10,0.34,4.9
27. 01. 2018 05:20,0.36,4.3
27. 01. 2018 05:30,0.38,3.9
27. 01. 2018 05:40,0.33,4
27. 01. 2018 05:50,0.37,4.4
27. 01. 2018 06:00,0.37,4.6
27. 01. 2018 06:20,0.38,4.4
27. 01. 2018 06:30,0.35,4.2
27. 01. 2018 06:40,0.38,4.3
27. 01. 2018 06:50,0.39,3.9
27. 01. 2018 07:00,0.36,3.4
27. 01. 2018 07:10,0.37,3.7
27. 01. 2018 07:20,0.4,4
27. 01. 2018 07:30,0.39,3.5
27. 01. 2018 07:40,0.38,3.3
27. 01. 2018 07:50,0.39,3.4
27. 01. 2018 08:00,0.37,3.5
27. 01. 2018 08:10,0.37,3.6
27. 01. 2018 08:20,0.36,3.6
27. 01. 2018 08:30,0.34,3.5
27. 01. 2018 08:40,0.33,3.9
27. 01. 2018 08:50,0.33,4.2
27. 01. 2018 09:00,0.31,4.6
27. 01. 2018 09:20,0.32,5.2
27. 01. 2018 09:30,0.35,5.2
27. 01. 2018 09:40,0.38,5.5
27. 01. 2018 09:50,0.36,6.1
27. 01. 2018 10:00,0.35,6.2
27. 01. 2018 10:10,0.34,6.4
27. 01. 2018 10:20,0.31,6.6
27. 01. 2018 10:30,0.33,6.7
27. 01. 2018 10:40,0.32,7.5
27. 01. 2018 11:00,0.31,8.5
27. 01. 2018 13:20,0.25,8.9
27. 01. 2018 13:30,0.23,8.9
27. 01. 2018 13:40,0.19,9
27. 01. 2018 13:50,0.22,9.2
27. 01. 2018 14:00,0.22,9.2
27. 01. 2018 14:10,0.2,9.2
27. 01. 2018 14:20,0.23,9.2
27. 01. 2018 14:30,0.21,9.2
27. 01. 2018 14:40,0.2,9.2
27. 01. 2018 14:50,0.21,9.1
27. 01. 2018 15:00,0.24,9.1
27. 01. 2018 15:10,0.24,9
27. 01. 2018 15:20,0.22,8.9
27. 01. 2018 15:30,0.22,8.9
27. 01. 2018 15:40,0.22,8.8
27. 01. 2018 15:50,0.23,8.7
27. 01. 2018 16:00,0.24,8.7
27. 01. 2018 16:10,0.23,8.6
27. 01. 2018 16:20,0.23,8.6
27. 01. 2018 16:30,0.21,8.5
27. 01. 2018 16:40,0.19,8.4
